INT	INT	STRING	STRING	STRING	STRING	STRING	INT
368	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在足球场上最容易得心脏病的是哪个位置的队员？	前锋	后卫	守门	中场	3
369	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G天下第一运动是什么?	篮球	足球	高尔夫球	棒球	2
370	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G号称中国国球的运动是什么?	篮球 	橄榄球	乒乓球	台球	3
371	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G康熙皇帝的庙号是：	圣祖 	世祖	太祖	太宗	1
372	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G吴敬梓是哪本名著的作者？	《儒林外史》 	《官场现形记》	《孽海花》	《老残游记》	1
373	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G评剧起源于：	北京	天津	保定	沧州	1
374	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G海洋中最多的生物是？	海藻	浮游生物  	蕨类植物	鱼类	2
375	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G电子计算机发明于哪一年？	1944年	1945年	1946年	1948年	3
376	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G中国农业银行发行的信用卡是：	金穗卡 	龙卡	牡丹卡	银联卡	1
377	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G被称作“法国号”的乐器是：	大号	小号	圆号	黑管	3
378	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G汇入大西洋的河流是哪一条？	刚果河	莱茵河	易北河	亚马逊河	4
379	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G发生“日食”是由于哪颗星球挡住了太阳：	月亮	火星	地球	水星	1
380	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G普利策奖是什么方面的大奖？	新闻、文化 	文学	音乐	艺术	1
381	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成都的市花是：	芙蓉花	金达莱	牡丹	芍药	1
382	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界最重要的IT高科技产业基地硅谷位于美国的哪个州？ 	加利弗尼亚州  	纽约州	华盛顿州	佛罗里达州	1
383	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下列影片中，以歌颂少数民族新生活为题材的是：	冰山上的来客	红高粱	柳堡的故事	达吉和她的父亲	4
384	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人体中最先衰老的器官是：	心脏	脾脏	肾脏	胸腺 	4
385	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G欧元什么时候正式诞生？	1998年1月1日	2001年1月1日	2000年1月1日	1999年1月1日	4
386	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“冬天到了，春天还会远吗”语出：	福楼拜	歌德	罗兰	雪莱	4
387	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下面干果中脂肪含量最高的是：	核桃仁 	花生米	榛子	杏仁	1
388	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G除夏威夷之外，哪个州也是美国本土以外的州？	佛罗里达州	加利福尼亚州 	阿拉斯加州 	缅因州	3
389	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G每一个少数民族都有自己喜爱的颜色，生长在大草原的蒙古族喜爱： 	蓝色	褐色	白色	黑色	3
390	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G骨折时伴随休克发生，应先治：	休克  	骨折	同时治	先后都可以	1
391	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G为了便于让望远镜观测天体，天文台的房子屋顶被设计成：	方顶	无顶	圆顶 	菱形顶	3
392	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G国际马拉松跑的赛程是：	42，195米 	37，195米 	40，195米 	45，195米 	1
393	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G娃娃鱼的产卵季节是：	夏初	春末	夏末	初秋	3
394	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G唯一能够前后左右飞行的鸟是：	蜂鸟 	山鹰	蝙蝠	秃鹫	1
395	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G最早的血压计用于测量谁的血压？	马	羊	人	牛	1
396	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《本草纲目》的作者是	沈括	华佗	李时珍 	郦道元	3
397	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G美国历史上第一所高等学府是：	加州大学	斯坦福大学	麻省理工学院	哈佛大学 	4
398	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G最早的校园歌曲出现在：	日本 	韩国	美国	英国	1
399	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G法国作家儒勒·凡尔纳被称为：	喜剧之父	悲剧之父	文学之父	科幻小说之父 	4
400	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G金庸的籍贯是：	浙江海宁	江苏镇江	江苏南京	福建厦门	1
401	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G被称为菊月的月份是：	七月	八月	九月 	十月	3
402	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“沙龙”源于哪国语言？ 	美国	爱尔兰	法国 	俄国	3
403	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在亚洲反法西斯战争中，盟军中牺牲的最高级别将领是：	佟麟阁	左权	赵登禹	张自忠 	4
404	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哈雷彗星绕太阳运行的周期约为：	56年	76年 	60年	70年	2
405	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G六弦琴是什么乐器的别称： 	贝斯	吉他 	大提琴	小提琴	2
406	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G沟通太平洋和印度洋的水道是：	苏伊士运河	马六甲海峡	巴士海峡	对马海峡	2
407	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G云南的“普洱茶”缘于什麽？	地名 	人名	工艺名称	风俗名称	1
408	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《奥德赛》的主人公是：	波塞冬	宙斯	俄底修斯  	厄尔普斯	3
409	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G一般认为篮球起源于： 	英国	加拿大	美国	墨西哥	3
410	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上最大的冰川在哪个洲？	亚洲	北美洲	南极洲 	欧洲	3
411	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界第一枚邮票出现在：	法国	美国	英国 	西班牙	3
412	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G海南岛是我国的第几大岛？	第一大岛	第二大岛	第三大岛	第四大岛	2
413	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人们最初发明滑冰，是把它作为：	娱乐手段	体育项目	交通工具	军事训练	3
414	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“自由女神像”是哪个国家送给美国的礼物？ 	西班牙	德国	比利时	法国	4
415	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“双喜临门”是我国哪个省市的名字？	宜昌	长沙	南昌	重庆 	4
416	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上第一例试管婴儿出身于：	1970年 	1985年 	1990年 	1978年 	4
417	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G有“植物熊猫”之称的是 	水杉	冷杉	紫檀木	银杉 	4
418	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G蒲松龄的故居在：	山东兖州	山东淄博 	山东泰安	山东临沂	2
419	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G小说《包法利夫人》的作者是：	卢梭	福楼拜  	都德	狄更斯	2
420	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G中国共产党的创始人李大钊是哪派军阀杀害的？	直系	奉系	皖系	西北系	2
421	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G有记录的世界上飞翔距离最远的是什么鸟？	雨燕	北极燕鸥 	天鹅	大雁	2
422	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G科西嘉人属于：	东欧民族	西欧民族  	南欧民族	中亚民族	2
423	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G恐龙属于：	卵生动物	爬行动物  	哺乳动物	两栖动物	2
424	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下半旗是把旗子下降到离旗杆顶的：	三分之一处	五分之一处	六分之一处	五分之二处	1
425	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“世界三大男高音”中的多明戈和卡雷拉斯都是	西班牙	匈牙利	葡萄牙	奥地利	1
426	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G作家老舍的原名叫什么？	舒庆春	沈雁冰	周树人	赵树理	1
427	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人民英雄纪念碑上的雕塑作品《五四运动》是：	浮雕  	绘画	壁画	泥塑	1
428	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G京剧《群英会》中周瑜的行当是	小生 	花旦	武生	丑角	1
429	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G徐悲鸿以画什么闻名世界？	奔马 	竹	虾	人物	1
430	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G目前在世界范围内仍使用的历法又叫：	格里高利历 	授时历	太阳历	不清楚	1
431	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G依照西方习俗， 订婚戒指戴在左手哪根手指上？	无名指 	食指	中指	小拇指	1
432	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#GWTO是哪个组织的称呼？	世界贸易组织 	关贸总协定	亚太经合组织	教科文组织	1
433	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《掀起你的盖头来》是哪个民族的民歌？	俄罗斯族	哈萨克族	塔吉克族	维吾尔族 	4
434	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人体最大的器官是：	心脏	淋巴	大脑	皮肤	4
435	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《四世同堂》主题区《重整河山待后生》属于哪一种曲艺形式？	京剧	越剧	河北梆子	鼓词 	4
436	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G有“无烟城市”之称的是：	赫尔辛基	斯德哥尔摩	奥斯陆	雷克雅末克 	4
437	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G七大洲中面积第二的是：	南美洲	北美洲	欧洲	非洲	4
438	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“司空见惯”是说司空见惯了什么：	钱财	住宅	骏马	美女	4
439	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G被称为“国际会议之都”的城市是：	洛桑	日内瓦	巴黎	纽约	2
440	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国最大的淡水湖是：	青海湖	鄱阳湖	洞庭湖	太湖	2
441	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G好莱坞位于美国什么州：	纽约州	加利福尼亚州 	佛罗里达州	南卡罗来纳州	2
442	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“席梦思”三个字源于什么？	地名 	人名	节日名	植物名	2
443	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G参加第一届古代奥运会的国家有：	三个 	四个	五个	六个	1
444	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G水上芭蕾又称：	花样游泳 	跳水	跳板	自由泳	1
445	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G把进化论介绍到中国，并整整影响了一代人的世界观的译著是：	《天演论》  	《资政新篇》	《战争论》	《资本论》	1
446	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G发射第一颗人造卫星的国家是：	前苏联  	美国	法国 	英国	1
447	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G企鹅是否可以生活在赤道附近？	可以 	不可以	有些种类可以	不清楚	1
448	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G能使淀粉变成蓝黑色的是：	碘酒 	料酒	咖啡因	明矾	1
449	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G中国民间的“冬九九”是从哪一天开始的？	小寒	大寒	霜降	冬至 	4
450	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国最著名的热水湖是哪一个？	纳木错	天池	尼斯湖	西藏羊八井 	4
451	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G经常食用以下哪种食物容易引起铅中毒？	煮熟的鸡蛋	咸鸭蛋	卤蛋	松花蛋 	4
452	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G最原始的哺乳动物是： 	鸭嘴兽	鳄鱼 	蜥蜴	鲸鱼	1
453	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G中国无声影片的最高峰《神女》是谁的代表作？	阮玲玉	蝴蝶	赵丹	郭兰英	1
454	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G易卜生曾写过：	玩偶之家	喜洋洋与灰太狼	威尼斯商人	天鹅湖	1
455	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《黄河大合唱》的作曲者是：	冼星海 	聂耳	田汉	萧三	1
456	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G毕加索在1950年前后曾发表一幅画作获国际和平奖，这幅画作是：	时光慧眼	日出	和平鸽 	人生	3
457	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人的心脏共有几个心房和心室？	2个	3个	4个 	6个	3
458	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G欧洲最大的半岛在：	南欧	北欧	西非	东欧	2
459	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G宋代的代表性刑罚是：	刺配  	斩首	充军	发配	1
460	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G袈裟为什么也叫百纳衣？	多块布补缀成  	住持衣钵	皇帝赏赐	佛祖所制	1
461	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G维纳斯是罗马神话中的：	爱神与美神  	战神	太阳神	海神	1
462	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G乌拉尔山是跨哪两个大洲的山脉？	亚欧	南北美洲	亚非	欧非	1
463	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国最早的中医学专著是什么？ 	《齐民要术》	《本草纲目》	《伤寒杂病论》	《黄帝内经》 	4
464	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G涮羊肉起源于：	南宋	北宋	元朝	金朝	3
465	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《全唐诗》收录的是唐代：	一万五千多首诗 	一万一千多首诗 	四万八千多首诗 	三万多首诗	3
466	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G四大名茶之一的龙井茶产地是：	福建武夷山	湖北武当山	浙江杭州 	云南苍山	3
467	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《清明上河图》是一幅：	山水	社会风俗画 	花鸟	鱼虫	2
468	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“建元”是我国哪一个皇帝使用的年号？	光武帝	唐太宗	宋太祖	汉武帝  	4
469	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G古语说“良贾不为折阅不市”说的是：	商人不因折本不买卖 	商人因折本而买卖	商人重利	生意难做	1
470	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G玛瑙上的一圈圈花纹形成于：	不同时期 	人工打磨	岩体压力	环境潮湿	1
471	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《史记》中的“世家”是给什么人作的传？	皇帝	诸侯王 	平民	忠臣	2
472	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G花茶的种类是根据什么命名的？	原本就是花类	加入的鲜花	炒制工艺	酿造工艺	2
473	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“七月流火”指天气：	转阴	转晴	转暖	转凉	4
474	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“昙花一现“是“现”在：	晚上 	白天	清晨	午后	1
475	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G围棋的产生与什么有关？	与古代战争有关 	与古代文化有关 	与古代科技有关 	与古代经济有关 	1
476	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在狗的眼睛里世界是什么颜色的？	红色	只有黑白灰色 	全部色彩	绿色	2
477	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G古筝和古琴哪一个的弦更多？	古琴 	古筝	一样多	不清楚	1
478	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《窦娥冤》的作者是： 	王实甫	施耐庵	关汉卿	罗贯中	3
479	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国最早的佛寺是：	北京云台寺	南京栖霞寺	嵩山少林寺	洛阳白马寺 	4
480	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“名不正则言不顺”是哪家的思想？	儒家 	法家	兵家	纵横家	1
481	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G古人常用松鹤延年图祝寿，鹤是生长在：	山上	沼泽地	沙漠	戈壁	2
482	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G古代游牧民族生活存在太阳崇拜吗？	不存在	说不清	存在 	也许有	3
483	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“塔”属于什么建筑？	佛教建筑 	道家建筑	宫廷建筑	欧洲建筑	1
484	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国的第一部诗歌总集是：	全唐诗	宋词	元曲	诗经	4
485	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G围棋棋盘共有几个交叉点？	200	361	181	180	2
486	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G被称为我国最大的古典艺术宝库的石窟是哪一个？	龙门石窟	云冈石窟	吴哥窟	莫高窟 	4
487	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“打蛇打七寸”的七寸是指： 	腰	头	心脏	尾	3
488	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下列名称不属于二十四节气的是：	惊蛰	大伏  	夏至	立春	2
489	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G五岳中的中岳是：	嵩山 	泰山	五台山	燕山	1
490	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国古迹龙门石窟位于哪个城市？	湖北武昌	山东泰安	河南洛阳  	河南南阳	3
491	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G古代的死刑在什么季节行刑？	春季	夏季	秋季	冬季	3
492	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人类最古老的绘画形式是：	油画	壁画 	水彩画	水墨画	2
493	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G河南出土的商代文物“司母戊鼎”是用什么材料制作的？	铁	青铜 	黄金	白银	2
494	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G牵牛花的藤沿树干盘旋向上，其旋绕的方向是顺时针还是逆时针？	顺时针方向	逆时针方向	有顺有逆	不清楚	2
495	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人体含水量百分比最高的器官是哪个器官？	耳朵	眼球	嘴唇	头发	2
496	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G以下哪座名楼位于浙江省？	验粮楼	滕王阁	望海楼	烟雨楼 	1
497	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G日晷的作用是什么？	计时器	气象仪	地动仪	简仪	1
498	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G海贝属于：	软体动物 	爬行动物  	两栖动物	腔肠动物	1
499	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪种鸟类是不筑巢、不育雏的？	杜鹃 	喜鹊	大雁	黄鹂	1
500	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G中国第一枚原子弹是在什么时候试爆成功的？	1964年	1950年	1970年	1971年	1
501	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在华氏温标中，冰的熔点定为：	32°F 	25°F 	55°F 	100°F 	1
502	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G地壳中含量最多的元素是：	氧 	铁	硅	氮	1
503	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国共有多少种鸟？	1186种 	1100种 	4500种 	5000种 	1
504	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哺乳动物出现抽搐，有可能是血液中下列哪项成份的含量太低？ 	钙盐 	海盐	井盐	碘盐	1
505	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G蝙蝠是一种： 	小型兽类 	鸟类	大型昆虫	两栖动物	1
506	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G烟草花叶病毒感染的烟叶制成的香烟是否将该种病毒传染给人？	不会	会	不清楚	有几率	1
507	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G金钱豹属我国几级保护动物：	1级	2级	3级	4级	1
508	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G计算机病毒是：	木马	程序 	蠕虫	宏	2
509	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G番茄和茄子是同一科的吗？	不是	是	部分是	不清楚	2
510	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G啮齿类动物为什么要时常“磨牙”？	生活习性	牙不停生长 	练习齿力	不清楚	2
511	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G表示两个氮原子的符号是：	2O	2N 	2MG	N	2
512	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人体气管和支气管的内表面是：	真皮组织	纤毛上皮	淋巴组织	呼吸组织	2
513	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G正常人体体细胞有多少条染色体？	36条	46条 	40条	50条	2
514	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G两只体型差不多的河马打架哪只会赢？	牙多的	嘴巴大的 	腿粗的	力气大的	2
515	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G含羞草属于什么科植物？	油料科	豆科 	茄科 	黍科	2
516	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G原子核是由什么组成？	中子	质子和中子 	原子核和电子	质子	2
517	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在夜晚天空晴朗的情况下，我们用肉眼能看到的星星大约有几颗？	500	3000	100	1000	2
518	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G植物界中种类最多的是：	裸子植物	被子植物 	蕨类植物	不清楚	2
519	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G地震活动带主要集中在：	大西洋沿岸	太平洋沿岸 	印度洋沿岸	北冰洋沿岸	2
520	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G化学家舍勒(ScheeleKW，1742—1786)是哪国人？	英国	法国	瑞典 	德国	3
521	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界水日是哪一天？	4月1日	4月5日	3月22日	5月1日	3
522	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G辣椒在植物分类中，是属于：	豆科	黍科	茄科 	不清楚	3
523	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G科学家普利斯特里(PriestleyJ，1773—1804)是哪国人？ 	美国	新西兰	英国 	加拿大	3
524	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人体中最大的消化腺是：	肾上腺	脾脏	肝脏	胃	3
525	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下列物质中，属于纯净物的是：	白糖	木材	胆矾 	碘盐	3
526	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G人们常说“胆小如鼠”，老鼠的胆到底有多大呢？	比自身很大	和绿豆一样大	老鼠没有胆 	不知道	3
527	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G以下哪一种植物被称作“南方的人参”？	板蓝根	橘梗	绞股蓝 	田七	3
528	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G月亮金字塔坐落在哪里？	牙买加	哥伦比亚	墨西哥 	海地	3
529	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G以下哪种动物是软体动物？	眼镜蛇	变形虫	蜗牛 	天牛	3
530	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G柿饼上的白霜是果肉里沁出的什么糖？	蔗糖	麦芽糖	葡萄糖 	木糖醇	3
531	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上最早从事地理测量的是哪个国家的人民？	巴比伦	中国 	印度	埃及 	4
532	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G清洁的空气中含有多少氩？	10%	5%	20%	0	4
533	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在草-兔-狼-虎这条食物链中，草属于：	终结者	消费者	捕食者	生产者	4
534	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#GDNA的双螺旋结构在哪年提出？	1960	1978	1998	1953	4
535	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G蚯蚓的神经系统是：	网状神经系统 	锁状神经系统 	蚯蚓无神经系统 	链状神经系统 	4
536	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下列哪种不是可燃性气体？	氢气	一氧化氮	一氧化碳	氧气 	4
537	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G生物的主要遗传物质DNA是指：	脱氧核苷酸	核苷酸	脱氧核糖	脱氧核糖核酸 	4
538	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G珊瑚属于：	植物	微生物	浮游生物	动物 	4
539	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G引起煤气中毒的主要气体是：	二氧化碳	一氧化氮	二氧化硫	一氧化碳	4
540	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G地壳中含量最多的金属元素是：	氧 	钾	硅	铝 	4
541	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下列各组物质中，属于同一种物质的是：	氢氧化钙和明矾	氧化铁和铜锈	一氧化碳和煤气	二氧化碳和干冰	4
542	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G物理学家卢瑟福是哪国人？	英国	法国	捷克	奥地利	1
543	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G花生的果实在长在什么地方？	根上	茎上	主根	须根	1
544	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G最古老的造礁生物是	海藻 	海葵	海带	海草	1
545	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G促使根从土壤中吸收的水分上升到叶，主要依靠：	蒸腾作用 	结晶作用	升华作用	液化作用	1
546	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G青蛙、癞蛤蟆属于：	两栖动物 	爬行动物  	哺乳动物	浮游生物	1
547	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G观测气象用的百叶箱为什么漆成白色？	反射太阳光 	保温	便于观测	没有特殊用途	1
548	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界最大的沙漠是：	撒哈拉沙漠 	塔克拉玛干沙漠	阿拉伯沙漠	中亚大沙漠	1
549	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G把肺部的氧带到全身，并把废物二氧化碳带回肺部，这一功能是由什么细胞完成？	红细胞	白细胞	血小板	组织细胞	1
550	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上最硬的金属是：	铬 	钛	镁	铂	1
551	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“春种一粒粟”中的粟指：	谷子 	大米	小麦	高粱	1
552	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G土豆是植株的哪一部分？	块茎 	枝叶	根茎	花蕾	1
553	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G一对血型正常的夫妇的血型都是A型，他们的亲生后代的血型是什么？	A型或O型	AB型	ABO型	B型	1
554	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G汽车的的反光镜使用的是：	凹镜	凸镜 	平镜	反光镜	2
